"id";"dc:identifier";"webct:anyo";"webct:total_hombres";"webct:total_mujeres";"webct:total_habitantes"
"https://www.cartagena.es/api/poblacion/csv.asp?id=1998";"1998";"1998";"87.018";"89.309";"176.327"
"https://www.cartagena.es/api/poblacion/csv.asp?id=1999";"1999";"1999";"88.125";"90.237";"178.362"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2000";"2000";"2000";"89.544";"91.190";"180.734"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2001";"2001";"2001";"91.867";"92.614";"184.481"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2002";"2002";"2002";"93.783";"94.122";"187.905"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2003";"2003";"2003";"97.521";"96.635";"194.156"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2004";"2004";"2004";"100.600";"98.834";"199.434"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2005";"2005";"2005";"104.573";"100.801";"205.374"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2006";"2006";"2006";"105.013";"101.552";"206.565"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2007";"2007";"2007";"107.736";"103.593";"211.329"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2008";"2008";"2008";"108.823";"105.210";"214.033"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2009";"2009";"2009";"108.981";"106.205";"215.186"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2010";"2010";"2010";"110.053";"107.188";"217.241"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2011";"2011";"2011";"110.389";"107.821";"218.210"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2012";"2012";"2012";"110.032";"107.966";"217.998"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2013";"2013";"2013";"109.989";"108.255";"218.244"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2014";"2014";"2014";"109.999";"108.529";"218.528"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2015";"2015";"2015";"109.615";"108.455";"218.070"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2016";"2016";"2016";"108.341";"107.686";"216.027"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2017";"2017";"2017";"107.814";"107.320";"215.134"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2018";"2018";"2018";"107.454";"107.268";"214.722"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2019";"2019";"2019";"107.606";"107.812";"215.418"
"https://www.cartagena.es/api/poblacion/csv.asp?id=2020";"2020";"2020";"108.233";"108.687";"216.920"
